path,speaker,split
./data\training_data\dsp_frame0.npy,dsp,training_data
./data\training_data\dsp_frame1.npy,dsp,training_data
./data\training_data\dsp_frame2.npy,dsp,training_data
./data\training_data\dsp_frame3.npy,dsp,training_data
./data\training_data\dsp_frame4.npy,dsp,training_data
./data\training_data\dsp_frame5.npy,dsp,training_data
./data\training_data\dsp_frame6.npy,dsp,training_data
./data\training_data\dsp_frame7.npy,dsp,training_data
./data\training_data\dsp_frame8.npy,dsp,training_data
./data\training_data\dsp_frame9.npy,dsp,training_data
./data\training_data\dsp_frame10.npy,dsp,training_data
./data\training_data\dsp_frame11.npy,dsp,training_data
./data\training_data\dsp_frame12.npy,dsp,training_data
./data\training_data\dsp_frame13.npy,dsp,training_data
./data\training_data\dsp_frame14.npy,dsp,training_data
./data\training_data\dsp_frame15.npy,dsp,training_data
./data\training_data\dsp_frame16.npy,dsp,training_data
./data\training_data\dsp_frame17.npy,dsp,training_data
./data\training_data\dsp_frame18.npy,dsp,training_data
./data\training_data\dsp_frame19.npy,dsp,training_data
./data\training_data\dsp_frame20.npy,dsp,training_data
./data\training_data\dsp_frame21.npy,dsp,training_data
./data\training_data\dsp_frame22.npy,dsp,training_data
./data\training_data\dsp_frame23.npy,dsp,training_data
./data\training_data\dsp_frame24.npy,dsp,training_data
./data\training_data\dsp_frame25.npy,dsp,training_data
./data\training_data\dsp_frame26.npy,dsp,training_data
./data\training_data\dsp_frame27.npy,dsp,training_data
./data\training_data\dsp_frame28.npy,dsp,training_data
./data\training_data\dsp_frame29.npy,dsp,training_data
./data\training_data\dsp_frame30.npy,dsp,training_data
./data\training_data\dsp_frame31.npy,dsp,training_data
./data\training_data\dsp_frame32.npy,dsp,training_data
./data\training_data\dsp_frame33.npy,dsp,training_data
./data\training_data\dsp_frame34.npy,dsp,training_data
./data\training_data\dsp_frame35.npy,dsp,training_data
./data\training_data\dsp_frame36.npy,dsp,training_data
./data\training_data\dsp_frame37.npy,dsp,training_data
./data\training_data\dsp_frame38.npy,dsp,training_data
./data\training_data\dsp_frame39.npy,dsp,training_data
./data\training_data\dsp_frame40.npy,dsp,training_data
./data\training_data\dsp_frame41.npy,dsp,training_data
./data\training_data\dsp_frame42.npy,dsp,training_data
./data\training_data\dsp_frame43.npy,dsp,training_data
./data\training_data\dsp_frame44.npy,dsp,training_data
./data\training_data\dsp_frame45.npy,dsp,training_data
./data\training_data\dsp_frame46.npy,dsp,training_data
./data\training_data\dsp_frame47.npy,dsp,training_data
./data\training_data\dsp_frame48.npy,dsp,training_data
./data\training_data\dsp_frame49.npy,dsp,training_data
./data\training_data\dsp_frame50.npy,dsp,training_data
./data\training_data\dsp_frame51.npy,dsp,training_data
./data\training_data\dsp_frame52.npy,dsp,training_data
./data\training_data\dsp_frame53.npy,dsp,training_data
./data\training_data\dsp_frame54.npy,dsp,training_data
./data\training_data\dsp_frame55.npy,dsp,training_data
./data\training_data\dsp_frame56.npy,dsp,training_data
./data\training_data\dsp_frame57.npy,dsp,training_data
./data\training_data\dsp_frame58.npy,dsp,training_data
./data\training_data\dsp_frame59.npy,dsp,training_data
./data\training_data\dsp_frame60.npy,dsp,training_data
./data\training_data\dsp_frame61.npy,dsp,training_data
./data\training_data\dsp_frame62.npy,dsp,training_data
./data\training_data\dsp_frame63.npy,dsp,training_data
./data\training_data\dsp_frame64.npy,dsp,training_data
./data\training_data\dsp_frame65.npy,dsp,training_data
./data\training_data\dsp_frame66.npy,dsp,training_data
./data\training_data\dsp_frame67.npy,dsp,training_data
./data\training_data\dsp_frame68.npy,dsp,training_data
./data\training_data\dsp_frame69.npy,dsp,training_data
./data\training_data\dsp_frame70.npy,dsp,training_data
./data\training_data\dsp_frame71.npy,dsp,training_data
./data\training_data\dsp_frame72.npy,dsp,training_data
./data\training_data\dsp_frame73.npy,dsp,training_data
./data\training_data\dsp_frame74.npy,dsp,training_data
./data\training_data\dsp_frame75.npy,dsp,training_data
./data\training_data\dsp_frame76.npy,dsp,training_data
./data\training_data\dsp_frame77.npy,dsp,training_data
./data\training_data\dsp_frame78.npy,dsp,training_data
./data\training_data\dsp_frame79.npy,dsp,training_data
./data\training_data\dsp_frame80.npy,dsp,training_data
./data\training_data\dsp_frame81.npy,dsp,training_data
./data\training_data\dsp_frame82.npy,dsp,training_data
./data\training_data\dsp_frame83.npy,dsp,training_data
